outer,inner,epoch,rmse_typ,omega_1,omega_2,rho,sigma_1,sigma_2,LL
1,4,450,0.1235255,0.0747223,0.15103689,-0.39264718,0.060998842,0.12328172,-565.072
1,4,475,0.12369496,0.077066705,0.15402353,-0.3995454,0.058070228,0.121938236,-569.2687
1,4,500,0.12450949,0.079527184,0.15653104,-0.4035158,0.05552474,0.12253164,-582.17596
1,4,525,0.12656048,0.08204862,0.1600882,-0.40696764,0.053357538,0.12380344,-589.6882
1,4,550,0.12666814,0.084608294,0.16404623,-0.4089239,0.0516183,0.12660775,-585.47864
1,4,575,0.12814806,0.08737588,0.16711032,-0.40780094,0.049897585,0.12870389,-609.1459
1,4,600,0.1273974,0.090210125,0.17068298,-0.40599054,0.04831442,0.13075936,-616.2945
1,4,625,0.12927155,0.09288004,0.17674197,-0.4047715,0.046702802,0.13012426,-610.3833
1,4,650,0.12528667,0.095573515,0.18361051,-0.40166715,0.045248106,0.12915565,-593.95416
1,4,675,0.12814198,0.098136015,0.19025856,-0.39795038,0.044179846,0.13038127,-630.49335
1,4,700,0.12657978,0.10081129,0.19675049,-0.39317122,0.04294955,0.1303141,-650.5523
1,4,725,0.12814952,0.1034317,0.20362124,-0.38439822,0.042240817,0.13326417,-631.60834
1,4,750,0.13206029,0.106000975,0.20884871,-0.37805876,0.041373294,0.13357754,-633.2786
1,4,775,0.13148047,0.10861436,0.21430957,-0.36927208,0.04050273,0.13335243,-662.53815
1,4,800,0.13288875,0.111298904,0.2192287,-0.3605815,0.03969717,0.13230287,-635.8716
1,4,825,0.13011053,0.11371679,0.2250705,-0.35123515,0.03947614,0.13698983,-673.11896
1,4,850,0.13124503,0.11645135,0.23024102,-0.34013525,0.0387365,0.1339929,-651.2399
1,4,875,0.1333398,0.11944348,0.23555157,-0.3299418,0.038075957,0.13098057,-642.29144
1,4,900,0.13095516,0.12239927,0.24181645,-0.31937563,0.03768571,0.13061795,-648.661
1,4,925,0.13320039,0.124792926,0.24732235,-0.30725884,0.037455738,0.13210474,-680.1016
