outer,inner,epoch,rmse_typ,omega_1,omega_2,rho,sigma,LL
1,8,0,0.5944158,0.09263678,0.09229095,-0.118970945,0.094560094,20154.598
1,8,25,0.5738778,0.40247428,0.3988718,0.37734786,0.32204765,874.47107
1,8,50,0.5363322,0.6893143,0.46637145,0.5651191,0.43045396,447.95468
1,8,75,0.49307725,0.882802,0.39456108,0.50458974,0.4423847,315.23978
1,8,100,0.44931683,0.94278765,0.3507479,0.50088894,0.4207922,230.69588
1,8,125,0.4218265,0.9067774,0.33693966,0.52980417,0.38516316,170.8557
1,8,150,0.405738,0.8371277,0.33401877,0.58814543,0.34630784,120.26971
1,8,175,0.3959836,0.77572465,0.33402297,0.6128231,0.30913642,80.45767
1,8,200,0.38438994,0.7257923,0.33543277,0.64846146,0.27517793,44.72122
1,8,225,0.37133402,0.6769847,0.3404818,0.6790732,0.2463805,16.463116
1,8,250,0.3599675,0.6356034,0.34873807,0.7241147,0.22302815,-8.076597
1,8,275,0.35185555,0.60535187,0.35901973,0.7288639,0.20451435,-27.032331
1,8,300,0.33857238,0.5778082,0.3584926,0.74703366,0.19109967,-40.994854
1,8,325,0.32307684,0.54582274,0.3516416,0.7522296,0.18168859,-48.875122
1,8,350,0.3074265,0.51416594,0.34169084,0.7252171,0.1757076,-58.435146
1,8,375,0.29021838,0.49484515,0.32014066,0.7290504,0.17079534,-67.91489
1,8,400,0.28050566,0.47073472,0.306501,0.7019912,0.16693288,-73.6384
1,8,425,0.26649678,0.4619763,0.30072412,0.6875942,0.16447724,-76.08283
1,8,450,0.2600388,0.4480472,0.2983958,0.6812214,0.16307794,-76.49702
1,8,475,0.2602941,0.4471606,0.2969333,0.6889764,0.16266355,-77.6962
1,8,500,0.2558657,0.445679,0.29683444,0.6917865,0.16210192,-77.376205
1,8,525,0.24698742,0.44057503,0.2954438,0.6969189,0.16179645,-77.96319
1,8,550,0.24904151,0.43576795,0.29592693,0.69449615,0.16171227,-79.09425
1,8,575,0.24935472,0.43959147,0.29381916,0.70662093,0.16200714,-78.46343
1,8,600,0.2428865,0.4319115,0.29124808,0.70776343,0.16205357,-78.15925
1,8,625,0.23998863,0.43514487,0.28834698,0.67716056,0.16240324,-77.85253
1,8,650,0.23902604,0.43474182,0.28620875,0.6967746,0.16192481,-79.29858
1,8,675,0.23886055,0.42529482,0.29768297,0.7039534,0.1616712,-79.28071
1,8,700,0.23709951,0.43359166,0.2851694,0.7120559,0.16167973,-79.1277
1,8,725,0.23411775,0.42494184,0.28577414,0.71726066,0.1619895,-80.16747
1,8,750,0.23378839,0.42719612,0.28733632,0.71838963,0.16156624,-79.644455
1,8,775,0.2334035,0.42405728,0.27806363,0.72271717,0.16182636,-81.65217
1,8,800,0.23326518,0.42369792,0.28068528,0.6969315,0.16191447,-81.992584
1,8,825,0.2342093,0.4189603,0.27941796,0.70989186,0.16195767,-81.87385
1,8,850,0.23678353,0.42943245,0.27601084,0.6964135,0.16217855,-83.39819
1,8,875,0.22986324,0.4163368,0.2748104,0.7082466,0.16202042,-81.78712
1,8,900,0.2290745,0.4124448,0.27389997,0.69271576,0.16141886,-81.845314
1,8,925,0.23099226,0.41172764,0.26498798,0.71404195,0.16190626,-85.85001
1,8,950,0.2268401,0.4137592,0.26362467,0.6982372,0.1619243,-84.0014
1,8,975,0.22955263,0.41023275,0.25527203,0.7055286,0.16228153,-84.483215
1,8,1000,0.23827928,0.40425855,0.26673022,0.68029535,0.16159545,-81.85076
1,9,0,0.52892524,0.098269254,0.12426993,-0.012827379,0.0948789,18710.729
1,9,25,0.6646513,0.3970962,0.5604687,0.4503732,0.32578653,1380.0455
