outer,inner,epoch,rmse_typ,omega_1,omega_2,rho,sigma,LL
1,5,800,0.15607561,0.3124934,0.19835174,0.52048135,0.039322574,-772.2986
1,5,825,0.1564165,0.31368268,0.19833384,0.52003866,0.039216895,-771.5295
1,5,850,0.15641953,0.31342173,0.19906095,0.5232014,0.039298847,-771.06976
1,5,875,0.15669812,0.31259614,0.19811317,0.5201345,0.03929495,-771.7543
1,5,900,0.15584898,0.31310973,0.19842368,0.5224547,0.039379075,-772.25024
1,5,925,0.15662305,0.31419677,0.19857647,0.5233462,0.039304808,-768.7794
1,5,950,0.15605152,0.31435528,0.19908419,0.5203257,0.039356843,-770.5666
1,5,975,0.15612026,0.31229714,0.19865426,0.52144384,0.039160613,-771.7664
1,5,1000,0.1558806,0.31374502,0.19897898,0.5254178,0.039296556,-770.26196
1,6,0,0.44227603,0.09787295,0.13602276,0.074780054,0.09092377,5995.3247
1,6,25,0.190805,0.29477227,0.32914034,0.17059338,0.17588408,-471.84866
1,6,50,0.12826182,0.32413188,0.22381386,0.5154551,0.15873706,-542.0118
1,6,75,0.1253878,0.2992902,0.19308361,0.73055744,0.12471021,-592.0991
1,6,100,0.12642692,0.30380374,0.21593206,0.83300984,0.098120674,-625.6923
1,6,125,0.12581818,0.33972254,0.23520969,0.8336327,0.080970384,-656.51495
1,6,150,0.12454149,0.3699668,0.25225738,0.7232653,0.06895323,-679.0078
1,6,175,0.124175645,0.37757918,0.24049754,0.67692477,0.05759577,-703.0604
1,6,200,0.12500717,0.3770122,0.23408723,0.5604271,0.048838936,-724.0975
1,6,225,0.12898695,0.35205254,0.2259188,0.47975194,0.042975016,-739.8817
1,6,250,0.13553873,0.32677862,0.21785174,0.42006144,0.039794207,-749.64575
1,6,275,0.14182572,0.31096455,0.21404226,0.39733005,0.038423948,-754.733
1,6,300,0.1445997,0.30614683,0.21234518,0.39982593,0.03808571,-755.297
1,6,325,0.14575948,0.30455208,0.21154925,0.40462413,0.038154103,-754.2891
1,6,350,0.1463033,0.30402738,0.21065584,0.40709558,0.038222257,-754.6314
1,6,375,0.14629477,0.30399597,0.21060146,0.4101781,0.038236946,-754.9075
1,6,400,0.1461654,0.30365118,0.21046819,0.41001943,0.038216062,-755.6317
1,6,425,0.14661072,0.3036547,0.21025375,0.40849495,0.038193688,-755.22064
1,6,450,0.14678597,0.302773,0.20988774,0.40842658,0.03822375,-755.1141
1,6,475,0.14701602,0.30309185,0.20994283,0.4105917,0.03819472,-755.7269
1,6,500,0.1465713,0.303071,0.2099838,0.40971252,0.03816546,-755.6076
1,6,525,0.14699481,0.30311975,0.20961325,0.40921414,0.038183246,-756.3297
1,6,550,0.15174992,0.30325198,0.21599795,0.3934611,0.038147446,-755.183
1,6,575,0.14611156,0.30343807,0.21032205,0.40775204,0.037998036,-754.7447
1,6,600,0.14793257,0.30261695,0.2098574,0.41024786,0.038089957,-755.6274
1,6,625,0.14718436,0.30284363,0.20912197,0.40980247,0.03809535,-757.0525
1,6,650,0.14741729,0.30265984,0.20957072,0.40919968,0.038137924,-755.6965
1,6,675,0.1473522,0.3021353,0.20921442,0.406167,0.038189787,-754.9289
1,6,700,0.147312,0.3020319,0.20968208,0.40473807,0.03815571,-756.4405
1,6,725,0.14695589,0.3024553,0.2089057,0.40877077,0.03812071,-755.32996
1,6,750,0.14719176,0.30231547,0.20875517,0.40639326,0.03816523,-755.75305
1,6,775,0.14705758,0.3019667,0.20870282,0.40390646,0.038135167,-755.93555
1,6,800,0.14667307,0.30182937,0.20902167,0.40419596,0.038157545,-755.8193
1,6,825,0.14715037,0.3015267,0.20835444,0.40744573,0.038134824,-756.5433
1,6,850,0.14755432,0.3013041,0.2081498,0.40478006,0.03811612,-756.51526
1,6,875,0.14717782,0.30128974,0.2085717,0.40709865,0.038123462,-756.04724
1,6,900,0.14766212,0.30070958,0.20850803,0.40696645,0.038137577,-755.3255
1,6,925,0.14715874,0.3005258,0.2084517,0.4048298,0.03814561,-756.0965
1,6,950,0.14696494,0.30035827,0.20808233,0.404433,0.038150087,-755.94324
1,6,975,0.14482269,0.30578786,0.21228145,0.39450857,0.03827699,-754.9532
1,6,1000,0.14861754,0.29814368,0.20664069,0.4039273,0.03828169,-757.10004
1,7,0,0.3543006,0.12500662,0.086129166,-0.0009063703,0.122819506,2762.4988
1,7,25,0.15655467,0.36675978,0.26770976,0.46311793,0.23838834,-439.312
1,7,50,0.16530447,0.34798837,0.14500692,0.7983816,0.17696181,-517.7177
1,7,75,0.15669838,0.29091752,0.25168827,0.9232531,0.11265419,-601.68854
1,7,100,0.16317582,0.33675906,0.26136988,0.9054647,0.07954062,-628.7861
1,7,125,0.13077416,0.38829765,0.32410258,0.6325953,0.062700465,-649.4402
1,7,150,0.13611114,0.40307847,0.31006393,0.66329163,0.051438052,-675.3486
1,7,175,0.14148317,0.41768217,0.28250197,0.3562262,0.058296967,-664.53876
1,7,200,0.11917307,0.34161478,0.27537048,0.6600083,0.0521515,-708.43097
1,7,225,0.10063962,0.32763514,0.2612524,0.5291546,0.04181264,-735.6755
1,7,250,0.10371726,0.31709835,0.24595496,0.48445576,0.03832219,-742.6663
1,7,275,0.10621031,0.31680667,0.23856501,0.47939065,0.038018003,-744.28357
1,7,300,0.10952496,0.3185816,0.23636279,0.46897724,0.037996657,-744.7101
1,7,325,0.11157047,0.3206574,0.23373476,0.4538324,0.037664127,-746.3162
1,7,350,0.11219951,0.32308125,0.23123376,0.44561172,0.037323337,-747.69574
1,7,375,0.11613272,0.32516584,0.22823824,0.42461303,0.037160706,-747.3337
1,7,400,0.11791006,0.3250207,0.22572401,0.42204344,0.036954395,-748.14185
1,7,425,0.11961695,0.32579532,0.22516282,0.4260538,0.03672184,-748.2215
1,7,450,0.119785845,0.32653323,0.22314851,0.42619103,0.03658601,-748.5609
1,7,475,0.12181723,0.3263152,0.22239597,0.42409605,0.036557507,-750.2894
1,7,500,0.12330899,0.32555398,0.22153312,0.42192605,0.03649866,-749.93207
1,7,525,0.12385016,0.32527107,0.22014739,0.42064092,0.036381647,-748.37537
1,7,550,0.12492952,0.3255353,0.21990536,0.4177371,0.036428086,-749.3087
1,7,575,0.12615858,0.3248058,0.21877448,0.42148098,0.03628175,-749.30585
1,7,600,0.12567529,0.32531428,0.21830541,0.420633,0.036272667,-748.2029
